 WIND100   ,DOWN_TIME  of WIND100   
    7.518823     ,    5.000000    
    5.275142     ,    5.000000    
    5.527579     ,    5.000000    
    7.498978     ,    5.000000    
    6.618224     ,    5.000000    
    5.092344     ,    6.000000    
    6.704613     ,    5.000000    
    7.107528     ,    4.000000    
    5.003007     ,    6.000000    
    6.905376     ,    5.000000    
    6.488422     ,    6.000000    
    6.419794     ,    6.000000    
    7.125710     ,    5.000000    
    6.324291     ,    6.000000    
    5.822124     ,    5.000000    
    6.760487     ,    6.000000    
    8.871964     ,    1.000000    
    7.223163     ,    2.000000    
    6.774206     ,    6.000000    
    6.929165     ,    5.000000    
    6.073084     ,    4.000000    
    6.283971     ,    3.000000    
    5.713953     ,    4.000000    
    6.295907     ,    5.000000    
    6.198401     ,    6.000000    
    6.518060     ,    6.000000    
    7.138437     ,    1.000000    
    6.329916     ,    5.000000    
    7.010182     ,    6.000000    
    6.966991     ,    6.000000    
    5.800061     ,    6.000000    
    7.490062     ,    6.000000    
    5.100892     ,    5.000000    
    8.266635     ,    6.000000    
    7.149851     ,    6.000000    
    4.936410     ,    6.000000    
    6.629230     ,    5.000000    
    7.206795     ,    5.000000    
    7.820412     ,    6.000000    
    6.962060     ,    5.000000    
    6.138771     ,    5.000000    
    6.892906     ,    2.000000    
    6.586116     ,    5.000000    
    10.34167     ,    6.000000    
    5.649578     ,    6.000000    
    5.796515     ,    2.000000    
    6.314765     ,    6.000000    
    7.474015     ,    4.000000    
 T         ,DOWN_TIME  of WIND100   
   -9999.000     ,    5.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    4.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    1.000000    
   -9999.000     ,    2.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    4.000000    
   -9999.000     ,    3.000000    
   -9999.000     ,    4.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    1.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    2.000000    
   -9999.000     ,    5.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    2.000000    
   -9999.000     ,    6.000000    
   -9999.000     ,    4.000000    
